Mes,SCOTDVC,SCOT-FR,SCOTGL,SCOTIA1,SCOT-LB,SCOT-RV,SCOTUSA,Q.MX
2024-06-01,1.867963,1.518639,8.733787,2.292458,0.62607,2.91283,22.37509,182.0152130126953
2024-07-01,1.885802,1.558266,8.969214,2.31029,0.657369,2.907911,21.762569,168.3136749267578
2024-08-01,1.899869,1.608674,9.688517,2.326902,0.705676,2.928799,24.075382,154.37725830078125
2024-09-01,1.928339,1.658239,9.932473,2.344469,0.721017,2.976345,24.464433,150.71697998046875
2024-10-01,1.924493,1.671792,9.938278,2.359236,0.734899,2.887687,25.405753,136.085693359375
2024-11-01,1.938746,1.610585,10.276987,2.375557,0.778594,2.825952,26.343587,150.10040283203125
2024-12-01,1.945413,1.539694,10.074264,2.391975,0.746704,2.814855,26.512014,170.7799530029297
2025-01-01,1.967606,1.63702,10.446506,2.408701,0.771177,2.985044,26.836575,168.87152099609375
2025-02-01,1.993621,1.670522,9.983943,2.423415,0.75872,3.015334,25.703151,193.19175720214844
2025-03-01,2.015105,1.713701,9.588273,2.438961,0.735902,3.028176,24.016227,174.1074676513672
2025-04-01,2.024008,1.72581,9.226496,2.452896,0.688993,3.131952,23.269826,212.32498168945312
2025-05-01,2.037805,1.89232,9.521207,2.466497,0.69448,3.375628,24.667489,203.57557678222656
