Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,84920,84920,52,SCOT-FR,L,1.764943,1.72581,1.89232,0.16651,160695.81,10816.86,
2025-04-01,84920,84920,52,SCOT-FR,L,1.764943,1.713701,1.72581,0.012109,146555.79,3323.16,
2025-03-01,84920,84920,52,SCOT-FR,L,1.764943,1.670522,1.713701,0.043179,145527.49,-4351.46,
2025-02-01,84920,84920,52,SCOT-FR,L,1.764943,1.63702,1.670522,0.033502,141860.73,-8018.22,
2025-01-01,84920,84920,52,SCOT-FR,L,1.764943,1.539694,1.63702,0.097326,139015.74,-10863.21,
2024-06-01,84920,84920,52,SCOT-FR,L,1.764943,1.553937,1.518639,-0.035298,128962.82,-20916.13,4.68
2024-07-01,84920,84920,52,SCOT-FR,L,1.764943,1.518639,1.558266,0.039627,132327.95,-17551,4.75
2024-08-01,84920,84920,52,SCOT-FR,L,1.764943,1.558266,1.608674,0.050408,136608.6,-13270.35,4.79
2024-09-01,84920,84920,52,SCOT-FR,L,1.764943,1.608674,1.658239,0.049565,140817.66,-9061.29,4.86
2024-10-01,84920,84920,52,SCOT-FR,L,1.764943,1.658239,1.671792,0.013553,141968.58,7910.37,
2024-11-01,84920,84920,52,SCOT-FR,L,1.764943,1.671792,1.610585,-0.061207,136770.88,13108.07,
2024-12-01,84920,84920,52,SCOT-FR,L,1.764943,1.610585,1.539694,-0.070891,130750.81,19128.14,
