Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,272276,272276,52,SCOT-LB,F,0.550473,0.688993,0.69448,0.005487,189090.24,39209.75,
2025-04-01,272276,272276,52,SCOT-LB,F,0.550473,0.735902,0.688993,-0.046909,187596.26,37715.77,
2025-03-01,272276,272276,52,SCOT-LB,F,0.550473,0.75872,0.735902,-0.022818,200368.45,50487.96,
2025-02-01,272276,272276,52,SCOT-LB,F,0.550473,0.771177,0.75872,-0.012457,206581.25,56700.76,
2025-01-01,272276,272276,52,SCOT-LB,F,0.550473,0.746704,0.771177,0.024473,209972.99,60092.5,
2024-06-01,272276,272276,52,SCOT-LB,F,0.550473,0.562751,0.62607,0.063319,170463.84,20583.35,6.18
2024-07-01,272276,272276,52,SCOT-LB,F,0.550473,0.62607,0.657369,0.031299,178985.8,29105.31,6.42
2024-08-01,272276,272276,52,SCOT-LB,F,0.550473,0.657369,0.705676,0.048307,192138.64,42258.15,6.74
2024-09-01,272276,272276,52,SCOT-LB,F,0.550473,0.705676,0.721017,0.015341,196315.62,46435.13,6.78
2024-10-01,272276,272276,52,SCOT-LB,F,0.550473,0.721017,0.734899,0.013882,200095.36,50214.87,
2024-11-01,272276,272276,52,SCOT-LB,F,0.550473,0.734899,0.778594,0.043695,211992.46,62111.97,
2024-12-01,272276,272276,52,SCOT-LB,F,0.550473,0.778594,0.746704,-0.03189,203309.58,53429.09,
