Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,48751,48751,52,SCOT-RV,L,3.074365,3.131952,3.375628,0.243676,164565.24,14686.86,
2025-04-01,48751,48751,52,SCOT-RV,L,3.074365,3.028176,3.131952,0.103776,152685.79,2807.41,
2025-03-01,48751,48751,52,SCOT-RV,L,3.074365,3.015334,3.028176,0.012842,147626.61,-2251.77,
2025-02-01,48751,48751,52,SCOT-RV,L,3.074365,2.985044,3.015334,0.03029,147000.55,-2877.83,
2025-01-01,48751,48751,52,SCOT-RV,L,3.074365,2.814855,2.985044,0.170189,145523.88,-4354.5,
2024-06-01,48751,48751,52,SCOT-RV,L,3.074365,3.055041,2.91283,-0.142211,142003.38,-7875,5.15
2024-07-01,48751,48751,52,SCOT-RV,L,3.074365,2.91283,2.907911,-0.004919,141763.57,-8114.81,5.09
2024-08-01,48751,48751,52,SCOT-RV,L,3.074365,2.907911,2.928799,0.020888,142781.88,-7096.5,5.01
2024-09-01,48751,48751,52,SCOT-RV,L,3.074365,2.928799,2.976345,0.047546,145099.8,-4778.58,5.01
2024-10-01,48751,48751,52,SCOT-RV,L,3.074365,2.976345,2.887687,-0.088658,140777.63,9100.75,
2024-11-01,48751,48751,52,SCOT-RV,L,3.074365,2.887687,2.825952,-0.061735,137767.99,12110.39,
2024-12-01,48751,48751,52,SCOT-RV,L,3.074365,2.825952,2.814855,-0.011097,137227,12651.38,
