Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,680423,680423,52,SCOTDVC,F1,1.837092,2.024008,2.037805,0.013797,1386569.39,136569.74,0.07
2025-04-01,680423,680423,52,SCOTDVC,F1,1.837092,2.015105,2.024008,0.008903,1377181.6,127181.95,0.07
2025-03-01,680423,680423,52,SCOTDVC,F1,1.837092,1.993621,2.015105,0.021484,1371123.79,121124.14,0.07
2025-02-01,680423,680423,52,SCOTDVC,F1,1.837092,1.967606,1.993621,0.026015,1356505.58,106505.93,0.08
2025-01-01,680423,680423,52,SCOTDVC,F1,1.837092,1.945413,1.967606,0.022193,1338804.38,88804.73,0.07
2024-06-01,680423,680423,52,SCOTDVC,F1,1.837092,1.851024,1.867963,0.016939,1271004.99,21005.34,46.13
2024-07-01,680423,680423,52,SCOTDVC,F1,1.837092,1.867963,1.885802,0.017839,1283143.05,33143.4,46.09
2024-08-01,680423,680423,52,SCOTDVC,F1,1.837092,1.885802,1.899869,0.014067,1292714.56,42714.91,45.37
2024-09-01,680423,680423,52,SCOTDVC,F1,1.837092,1.899869,1.928339,0.02847,1312086.21,62086.56,45.37
2024-10-01,680423,680423,52,SCOTDVC,F1,1.837092,1.928339,1.924493,-0.003846,1309469.3,59469.65,0.08
2024-11-01,680423,680423,52,SCOTDVC,F1,1.837092,1.924493,1.938746,0.014253,1319167.37,69167.72,0.07
2024-12-01,680423,680423,52,SCOTDVC,F1,1.837092,1.938746,1.945413,0.006667,1323703.75,73704.1,0.07
