Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,18497,18497,52,SCOTGL+,L,8.102669,9.226496,9.521207,0.294711,176113.77,26238.7,
2025-04-01,18497,18497,52,SCOTGL+,L,8.102669,9.588273,9.226496,-0.361777,170662.5,20787.43,
2025-03-01,18497,18497,52,SCOTGL+,L,8.102669,9.983943,9.588273,-0.39567,177354.29,27479.22,
2025-02-01,18497,18497,52,SCOTGL+,L,8.102669,10.446506,9.983943,-0.462563,184672.99,34797.92,
2025-01-01,18497,18497,52,SCOTGL+,L,8.102669,10.074264,10.446506,0.372242,193229.02,43353.95,
2024-06-01,18497,18497,52,SCOTGL+,L,8.102669,7.999055,8.733787,0.734732,161548.86,11673.79,5.86
2024-07-01,18497,18497,52,SCOTGL+,L,8.102669,8.733787,8.969214,0.235427,165903.55,16028.48,5.95
2024-08-01,18497,18497,52,SCOTGL+,L,8.102669,8.969214,9.688517,0.719303,179208.5,29333.43,6.29
2024-09-01,18497,18497,52,SCOTGL+,L,8.102669,9.688517,9.932473,0.243956,183720.95,33845.88,6.35
2024-10-01,18497,18497,52,SCOTGL+,L,8.102669,9.932473,9.938278,0.005805,183828.33,33953.26,
2024-11-01,18497,18497,52,SCOTGL+,L,8.102669,9.938278,10.276987,0.338709,190093.43,40218.36,
2024-12-01,18497,18497,52,SCOTGL+,L,8.102669,10.276987,10.074264,-0.202723,186343.66,36468.59,
