Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,633622,634148,51,SCOTIA1,CU1,2.330966,2.452896,2.466497,0.013601,1564124.14,85946.82,
2025-04-01,453525,633622,51,SCOTIA1,CU1,2.33086,2.438961,2.452896,0.013935,1554208.87,77324.63,
2025-03-01,423028,453525,51,SCOTIA1,CU1,2.286293,2.423415,2.438961,0.015546,1106129.79,69238.66,
2025-02-01,307241,423028,51,SCOTIA1,CU1,2.275417,2.408701,2.423415,0.014714,1025172.4,62607.45,
2025-01-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.391975,2.408701,0.016726,740051.7,57484.49,
2024-06-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.276839,2.292458,0.015619,704337.09,21769.88,25.56
2024-07-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.292458,2.31029,0.017832,709815.81,27248.6,25.49
2024-08-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.31029,2.326902,0.016612,714919.7,32352.49,25.09
2024-09-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.326902,2.344469,0.017567,720317,37749.79,24.9
2024-10-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.344469,2.359236,0.014767,724854.03,42286.82,
2024-11-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.359236,2.375557,0.016321,729868.51,47301.3,
2024-12-01,307241,307241,51,SCOTIA1,CU1,2.221602,2.375557,2.391975,0.016418,734912.79,52345.58,
