Mes,Titulos Mes Anterior,Titulos Mes Actual,Num Emisora,Emisora,Serie,Costo Unitario,Precio Inicial,Precio Final,Diferencial,Valor de Mercado,Plusvalia o Minusvalia,Tendencia Accionaria
2025-05-01,7904,7904,52,SCOTUSA,L,18.962167,23.269826,24.667489,1.397663,194971.83,45094.86,
2025-04-01,7904,7904,52,SCOTUSA,L,18.962167,24.016227,23.269826,-0.746401,183924.7,34047.73,
2025-03-01,7904,7904,52,SCOTUSA,L,18.962167,25.703151,24.016227,-1.686924,189824.26,39947.29,
2025-02-01,7904,7904,52,SCOTUSA,L,18.962167,26.836575,25.703151,-1.133424,203157.71,53280.74,
2025-01-01,7904,7904,52,SCOTUSA,L,18.962167,26.512014,26.836575,0.324561,212116.29,62239.32,
2024-06-01,7904,7904,52,SCOTUSA,L,18.962167,19.465784,22.37509,2.909306,176852.71,26975.74,6.41
2024-07-01,7904,7904,52,SCOTUSA,L,18.962167,22.37509,21.762569,-0.612521,172011.35,22134.38,6.17
2024-08-01,7904,7904,52,SCOTUSA,L,18.962167,21.762569,24.075382,2.312813,190291.82,40414.85,6.68
2024-09-01,7904,7904,52,SCOTUSA,L,18.962167,24.075382,24.464433,0.389051,193366.88,43489.91,6.68
2024-10-01,7904,7904,52,SCOTUSA,L,18.962167,24.464433,25.405753,0.94132,200807.07,50930.1,
2024-11-01,7904,7904,52,SCOTUSA,L,18.962167,25.405753,26.343587,0.937834,208219.71,58342.74,
2024-12-01,7904,7904,52,SCOTUSA,L,18.962167,26.343587,26.512014,0.168427,209550.96,59673.99,
