timestamp,AAPL,MSFT,XOM,BP
2024-06-03 04:00:00+00:00,194.03,413.52,114.45,36.4
2024-06-04 04:00:00+00:00,194.35,416.07,112.67,35.56
2024-06-05 04:00:00+00:00,195.87,424.01,113.12,35.33
2024-06-06 04:00:00+00:00,194.48,424.52,113.97,35.45
2024-06-07 04:00:00+00:00,196.89,423.85,112.75,35.26
2024-06-10 04:00:00+00:00,193.12,427.87,113.08,35.92
2024-06-11 04:00:00+00:00,207.15,432.68,112.17,35.67
2024-06-12 04:00:00+00:00,213.07,441.06,110.93,35.56
2024-06-13 04:00:00+00:00,214.24,441.58,110.04,35.19
2024-06-14 04:00:00+00:00,212.49,442.57,109.11,34.89
2024-06-17 04:00:00+00:00,216.67,448.37,108.36,35.11
2024-06-18 04:00:00+00:00,214.29,446.34,109.38,35.39
2024-06-20 04:00:00+00:00,209.68,445.7,111.74,35.71
2024-06-21 04:00:00+00:00,207.49,449.78,110.76,35.51
2024-06-24 04:00:00+00:00,208.14,447.67,114.05,36.25
2024-06-25 04:00:00+00:00,209.07,450.95,114.37,36.08
2024-06-26 04:00:00+00:00,213.25,452.16,114.41,35.72
2024-06-27 04:00:00+00:00,214.1,452.85,114.9,35.97
2024-06-28 04:00:00+00:00,210.62,446.95,115.12,36.1
2024-07-01 04:00:00+00:00,216.75,456.73,114.96,36.43
2024-07-02 04:00:00+00:00,220.27,459.28,114.18,36.76
2024-07-03 04:00:00+00:00,221.55,460.77,114.76,36.97
2024-07-05 04:00:00+00:00,226.34,467.56,113.37,37.05
2024-07-08 04:00:00+00:00,227.82,466.24,112.18,36.55
2024-07-09 04:00:00+00:00,228.68,459.54,110.94,34.8
2024-07-10 04:00:00+00:00,232.98,466.25,111.92,34.9
2024-07-11 04:00:00+00:00,227.57,454.7,113.25,35.05
2024-07-12 04:00:00+00:00,230.54,453.55,113.27,35.19
2024-07-15 04:00:00+00:00,234.4,453.96,115.21,35.03
2024-07-16 04:00:00+00:00,234.82,449.52,116.04,34.89
2024-07-17 04:00:00+00:00,228.88,443.52,117.64,35.42
2024-07-18 04:00:00+00:00,224.18,440.37,118.8,35.59
2024-07-19 04:00:00+00:00,224.31,437.11,116.07,35.38
2024-07-22 04:00:00+00:00,223.96,442.94,115.27,35.33
2024-07-23 04:00:00+00:00,225.01,444.85,113.41,34.95
2024-07-24 04:00:00+00:00,218.54,428.9,115.01,34.65
2024-07-25 04:00:00+00:00,217.49,418.4,117.43,35.18
2024-07-26 04:00:00+00:00,217.96,425.27,117.33,35.25
2024-07-29 04:00:00+00:00,218.24,426.73,116.1,34.96
2024-07-30 04:00:00+00:00,218.8,422.92,118.17,34.81
2024-07-31 04:00:00+00:00,222.08,418.35,118.59,35.39
2024-08-01 04:00:00+00:00,218.36,417.11,116.95,34.76
2024-08-02 04:00:00+00:00,219.86,408.49,116.88,34.08
2024-08-05 04:00:00+00:00,209.27,395.15,114.77,32.99
2024-08-06 04:00:00+00:00,207.23,399.61,114.16,32.94
2024-08-07 04:00:00+00:00,209.82,398.43,115.68,33.05
2024-08-08 04:00:00+00:00,213.31,402.69,117.89,33.5
2024-08-09 04:00:00+00:00,216.24,406.02,118.85,33.26
2024-08-12 04:00:00+00:00,217.53,406.81,119.0,33.65
2024-08-13 04:00:00+00:00,221.27,414.01,117.86,33.71
2024-08-14 04:00:00+00:00,221.72,416.86,118.95,33.7
2024-08-15 04:00:00+00:00,224.72,421.03,118.73,34.12
2024-08-16 04:00:00+00:00,226.05,418.47,118.17,34.11
2024-08-19 04:00:00+00:00,225.89,421.53,118.53,34.14
2024-08-20 04:00:00+00:00,226.51,424.8,114.58,33.38
2024-08-21 04:00:00+00:00,226.4,424.14,113.85,33.52
2024-08-22 04:00:00+00:00,224.53,415.55,114.73,33.5
2024-08-23 04:00:00+00:00,226.84,416.79,116.32,34.11
2024-08-26 04:00:00+00:00,227.18,413.49,118.81,34.39
2024-08-27 04:00:00+00:00,228.03,413.84,117.68,34.38
