table_index,row_index,scraped_at,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,time,player1,player2,score,tournament,round,source_url,source_page
0,1,2025-08-25 14:58:54,00:20,Giron M.,3,6,7,4,5,6,2.01,1.80,00:20,Giron M.,,,,,https://www.tennisexplorer.com/results/,results
0,2,2025-08-25 14:58:54,00:20,Navone M.,2,0,5,6,7,4,,,00:20,Navone M.,,,,,https://www.tennisexplorer.com/results/,results
0,3,2025-08-25 14:58:54,01:10,Nakashima B.(30),3,6,65,2,6,7,2.01,1.80,01:10,,,,,,https://www.tennisexplorer.com/results/,results
0,4,2025-08-25 14:58:54,01:10,De Jong J.,2,2,7,6,2,67,,,01:10,De Jong J.,,,,,https://www.tennisexplorer.com/results/,results
0,5,2025-08-25 14:58:54,01:20,Djokovic N.(7),3,6,7,6,,,1.14,5.74,01:20,,,,,,https://www.tennisexplorer.com/results/,results
0,6,2025-08-25 14:58:54,01:20,Tien L.,0,1,63,2,,,,,01:20,Tien L.,,,,,https://www.tennisexplorer.com/results/,results
0,7,2025-08-25 14:58:54,03:05,Bonzi B.,3,6,7,65,0,6,1.14,5.74,03:05,Bonzi B.,,,,,https://www.tennisexplorer.com/results/,results
0,8,2025-08-25 14:58:54,03:05,Medvedev D.(13),2,3,5,7,6,4,,,03:05,,,,,,https://www.tennisexplorer.com/results/,results
0,9,2025-08-25 14:58:54,17:05,Damm M.,3,6,6,6,,,2.01,1.78,17:05,Damm M.,,,,,https://www.tennisexplorer.com/results/,results
0,10,2025-08-25 14:58:54,17:05,Blanch D.,0,3,4,4,,,,,17:05,Blanch D.,,,,,https://www.tennisexplorer.com/results/,results
0,11,2025-08-25 14:58:54,17:05,Harris L.,3,6,7,6,,,2.01,1.78,17:05,Harris L.,,,,,https://www.tennisexplorer.com/results/,results
0,12,2025-08-25 14:58:54,17:05,Baez S.,0,3,5,4,,,,,17:05,Baez S.,,,,,https://www.tennisexplorer.com/results/,results
0,13,2025-08-25 14:58:54,17:10,Bergs Z.,3,6,6,6,,,1.38,3.07,17:10,Bergs Z.,,,,,https://www.tennisexplorer.com/results/,results
0,14,2025-08-25 14:58:54,17:10,Tseng C.,0,3,4,3,,,,,17:10,Tseng C.,,,,,https://www.tennisexplorer.com/results/,results
0,15,2025-08-25 14:58:54,17:10,Wong C.,3,6,7,7,,,1.38,3.07,17:10,Wong C.,,,,,https://www.tennisexplorer.com/results/,results
0,16,2025-08-25 14:58:54,17:10,Kovacevic A.,0,4,5,64,,,,,17:10,Kovacevic A.,,,,,https://www.tennisexplorer.com/results/,results
0,17,2025-08-25 14:58:54,17:10,Walton A.,3,6,7,5,6,,2.75,1.44,17:10,Walton A.,,,,,https://www.tennisexplorer.com/results/,results
0,18,2025-08-25 14:58:54,17:10,Humbert U.(22),1,4,64,7,1,,,,17:10,,,,,,https://www.tennisexplorer.com/results/,results
0,19,2025-08-25 14:58:54,17:10,Norrie C.,1,7,6,,,,2.75,1.44,17:10,Norrie C.,,,,,https://www.tennisexplorer.com/results/,results
0,20,2025-08-25 14:58:54,17:10,Korda S.,0,5,4,,,,,,17:10,Korda S.,,,,,https://www.tennisexplorer.com/results/,results
0,21,2025-08-25 14:58:54,18:25,Fonseca J.,3,7,7,6,,,1.53,2.48,18:25,Fonseca J.,,,,,https://www.tennisexplorer.com/results/,results
0,22,2025-08-25 14:58:54,18:25,Kecmanovic M.,0,63,65,3,,,,,18:25,Kecmanovic M.,,,,,https://www.tennisexplorer.com/results/,results
0,23,2025-08-25 14:58:54,18:55,Draper J.(5),3,6,7,67,6,,1.53,2.48,18:55,,,,,,https://www.tennisexplorer.com/results/,results
0,24,2025-08-25 14:58:54,18:55,Gomez F.,1,4,5,7,2,,,,18:55,Gomez F.,,,,,https://www.tennisexplorer.com/results/,results
0,25,2025-08-25 14:58:54,19:20,Collignon R.,3,6,6,6,,,1.87,1.93,19:20,Collignon R.,,,,,https://www.tennisexplorer.com/results/,results
